cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2	task
True	1	5	ORG	0.60000	0.19307	0.29213	202	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	5	PER	0.32353	0.21429	0.25781	154	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	1	5	0	0.97061	0.99025	0.98033	12106	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	1	5	1	0.60403	0.33149	0.42806	543	CRF_PA	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
False	1	1	LOC	0.36066	0.13415	0.19556	328	CRF	2016.conll.freebase.ascii.txt.horus	ner.txt.horus	NER
False	1	1	ORG	0.14634	0.05854	0.08362	205	CRF	2016.conll.freebase.ascii.txt.horus	ner.txt.horus	NER
False	1	1	PER	0.68681	0.18685	0.29377	669	CRF	2016.conll.freebase.ascii.txt.horus	ner.txt.horus	NER
False	1	1	0	0.97922	0.99657	0.98782	46057	CRF	2016.conll.freebase.ascii.txt.horus	ner.txt.horus	NED
False	1	1	1	0.59067	0.18968	0.28715	1202	CRF	2016.conll.freebase.ascii.txt.horus	ner.txt.horus	NED
False	1	1	LOC	0.35443	0.17073	0.23045	328	CRF_PA	2016.conll.freebase.ascii.txt.horus	ner.txt.horus	NER
False	1	1	ORG	0.10127	0.03902	0.05634	205	CRF_PA	2016.conll.freebase.ascii.txt.horus	ner.txt.horus	NER
False	1	1	PER	0.63529	0.16143	0.25745	669	CRF_PA	2016.conll.freebase.ascii.txt.horus	ner.txt.horus	NER
False	1	1	0	0.97951	0.99642	0.98789	46057	CRF_PA	2016.conll.freebase.ascii.txt.horus	ner.txt.horus	NED
False	1	1	1	0.59459	0.20133	0.30081	1202	CRF_PA	2016.conll.freebase.ascii.txt.horus	ner.txt.horus	NED
False	1	1	LOC	0.24658	0.07377	0.11356	244	CRF	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus	NER
False	1	1	ORG	0.04167	0.04598	0.04372	87	CRF	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus	NER
False	1	1	PER	0.49550	0.09804	0.16369	561	CRF	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus	NER
False	1	1	0	0.96771	0.99401	0.98068	22525	CRF	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus	NED
False	1	1	1	0.51786	0.16256	0.24744	892	CRF	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus	NED
False	1	1	LOC	0.25000	0.10656	0.14943	244	CRF_PA	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus	NER
False	1	1	ORG	0.04321	0.08046	0.05622	87	CRF_PA	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus	NER
False	1	1	PER	0.69565	0.11408	0.19602	561	CRF_PA	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus	NER
False	1	1	0	0.96960	0.99259	0.98096	22525	CRF_PA	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus	NED
False	1	1	1	0.53352	0.21413	0.30560	892	CRF_PA	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus	NED
False	1	1	LOC	0.24510	0.15823	0.19231	158	CRF	ner.txt.horus	2015.conll.freebase.horus	NER
False	1	1	ORG	0.03704	0.02041	0.02632	49	CRF	ner.txt.horus	2015.conll.freebase.horus	NER
False	1	1	PER	0.41245	0.39259	0.40228	270	CRF	ner.txt.horus	2015.conll.freebase.horus	NER
False	1	1	0	0.98061	0.98620	0.98340	15946	CRF	ner.txt.horus	2015.conll.freebase.horus	NED
