cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2	task
False	1	0	average	0.24987	0.34792	0.29043	0	DT	wnut16.train	wnut15.dev	NER
False	1	1	0	0.98388	0.97148	0.97764	15954	DT	wnut16.train	wnut15.dev	NED
False	1	1	1	0.33186	0.47083	0.38932	480	DT	wnut16.train	wnut15.dev	NED
False	1	1	LOC	0.36532	0.37387	0.36955	1110	RF50	wnut16.train	wnut16.test	NER
False	1	1	ORG	0.31804	0.11454	0.16842	908	RF50	wnut16.train	wnut16.test	NER
False	1	1	PER	0.23789	0.41698	0.30295	789	RF50	wnut16.train	wnut16.test	NER
False	1	0	average	0.31421	0.30210	0.28577	0	RF50	wnut16.train	wnut16.test	NER
False	1	1	0	0.97260	0.97196	0.97228	59813	RF50	wnut16.train	wnut16.test	NED
False	1	1	1	0.41075	0.41646	0.41359	2807	RF50	wnut16.train	wnut16.test	NED
False	1	1	LOC	0.36658	0.38739	0.37670	1110	DT	wnut16.train	wnut16.test	NER
False	1	1	ORG	0.25659	0.11784	0.16151	908	DT	wnut16.train	wnut16.test	NER
False	1	1	PER	0.23176	0.41065	0.29630	789	DT	wnut16.train	wnut16.test	NER
False	1	0	average	0.29311	0.30673	0.28449	0	DT	wnut16.train	wnut16.test	NER
False	1	1	0	0.97302	0.97007	0.97154	59813	DT	wnut16.train	wnut16.test	NED
False	1	1	1	0.40094	0.42679	0.41346	2807	DT	wnut16.train	wnut16.test	NED
False	1	1	LOC	0.15909	0.11475	0.13333	244	RF50	wnut16.train	wnut17.test	NER
False	1	1	ORG	0.07692	0.05682	0.06536	88	RF50	wnut16.train	wnut17.test	NER
False	1	1	PER	0.42693	0.26560	0.32747	561	RF50	wnut16.train	wnut17.test	NER
False	1	0	average	0.31926	0.20381	0.24860	0	RF50	wnut16.train	wnut17.test	NER
False	1	1	0	0.97363	0.98673	0.98013	22524	RF50	wnut16.train	wnut17.test	NED
False	1	1	1	0.49322	0.32587	0.39245	893	RF50	wnut16.train	wnut17.test	NED
False	1	1	LOC	0.14573	0.11885	0.13093	244	DT	wnut16.train	wnut17.test	NER
False	1	1	ORG	0.04211	0.04545	0.04372	88	DT	wnut16.train	wnut17.test	NER
False	1	1	PER	0.44000	0.27451	0.33809	561	DT	wnut16.train	wnut17.test	NER
False	1	0	average	0.32038	0.20941	0.25248	0	DT	wnut16.train	wnut17.test	NER
False	1	1	0	0.97400	0.98477	0.97936	22524	DT	wnut16.train	wnut17.test	NED
False	1	1	1	0.46739	0.33707	0.39167	893	DT	wnut16.train	wnut17.test	NED
True	1	1	LOC	0.42143	0.33523	0.37342	176	RF50	wnut17.train	wnut17.train	NER
True	1	1	ORG	0.45946	0.34000	0.39080	50	RF50	wnut17.train	wnut17.train	NER
True	1	1	PER	0.44907	0.51323	0.47901	189	RF50	wnut17.train	wnut17.train	NER
True	1	1	average	0.43860	0.41687	0.42360	0	RF50	wnut17.train	wnut17.train	NER
True	1	1	0	0.98510	0.98686	0.98598	12326	RF50	wnut17.train	wnut17.train	NED
True	1	1	1	0.58779	0.55663	0.57178	415	RF50	wnut17.train	wnut17.train	NED
True	1	1	LOC	0.41558	0.36364	0.38788	176	DT	wnut17.train	wnut17.train	NER
True	1	1	ORG	0.42222	0.38000	0.40000	50	DT	wnut17.train	wnut17.train	NER
True	1	1	PER	0.45701	0.53439	0.49268	189	DT	wnut17.train	wnut17.train	NER
True	1	1	average	0.43525	0.44337	0.43707	0	DT	wnut17.train	wnut17.train	NER
True	1	1	0	0.98580	0.98540	0.98560	12326	DT	wnut17.train	wnut17.train	NED
True	1	1	1	0.57143	0.57831	0.57485	415	DT	wnut17.train	wnut17.train	NED
True	1	2	LOC	0.37879	0.33333	0.35461	150	RF50	wnut17.train	wnut17.train	NER
True	1	2	ORG	0.31707	0.34211	0.32911	38	RF50	wnut17.train	wnut17.train	NER
True	1	2	PER	0.54187	0.55276	0.54726	199	RF50	wnut17.train	wnut17.train	NER
True	1	2	average	0.45659	0.44703	0.45117	0	RF50	wnut17.train	wnut17.train	NER
True	1	2	0	0.98690	0.98778	0.98734	12354	RF50	wnut17.train	wnut17.train	NED
True	1	2	1	0.59840	0.58140	0.58978	387	RF50	wnut17.train	wnut17.train	NED
True	1	2	LOC	0.38255	0.38000	0.38127	150	DT	wnut17.train	wnut17.train	NER
True	1	2	ORG	0.28261	0.34211	0.30952	38	DT	wnut17.train	wnut17.train	NER
True	1	2	PER	0.53731	0.54271	0.54000	199	DT	wnut17.train	wnut17.train	NER
True	1	2	average	0.45232	0.45995	0.45585	0	DT	wnut17.train	wnut17.train	NER
True	1	2	0	0.98720	0.98648	0.98684	12354	DT	wnut17.train	wnut17.train	NED
True	1	2	1	0.57828	0.59173	0.58493	387	DT	wnut17.train	wnut17.train	NED
True	1	3	LOC	0.43333	0.34437	0.38376	151	RF50	wnut17.train	wnut17.train	NER
True	1	3	ORG	0.41176	0.33333	0.36842	42	RF50	wnut17.train	wnut17.train	NER
True	1	3	PER	0.57055	0.50820	0.53757	183	RF50	wnut17.train	wnut17.train	NER
True	1	3	average	0.49771	0.42287	0.45691	0	RF50	wnut17.train	wnut17.train	NER
True	1	3	0	0.98479	0.98949	0.98713	12365	RF50	wnut17.train	wnut17.train	NED
True	1	3	1	0.58991	0.49734	0.53968	376	RF50	wnut17.train	wnut17.train	NED
True	1	3	LOC	0.40411	0.39073	0.39731	151	DT	wnut17.train	wnut17.train	NER
True	1	3	ORG	0.36842	0.33333	0.35000	42	DT	wnut17.train	wnut17.train	NER
True	1	3	PER	0.57988	0.53552	0.55682	183	DT	wnut17.train	wnut17.train	NER
