cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2	task
False	8	1	ORG	0.50000	0.02273	0.04348	88	CRF	wnut17.train	wnut17.test	NER
False	8	1	PER	0.67382	0.28086	0.39646	559	CRF	wnut17.train	wnut17.test	NER
False	8	0	average	0.63126	0.22671	0.32709	0	CRF	wnut17.train	wnut17.test	NER
False	8	1	0	0.97120	0.99622	0.98355	22508	CRF	wnut17.train	wnut17.test	NED
False	8	1	1	0.72669	0.25365	0.37604	891	CRF	wnut17.train	wnut17.test	NED
False	8	1	LOC	0.43820	0.15984	0.23423	244	CRF_PA	wnut17.train	wnut17.test	NER
False	8	1	ORG	0.00000	0.00000	0.00000	88	CRF_PA	wnut17.train	wnut17.test	NER
False	8	1	PER	0.74312	0.28980	0.41699	559	CRF_PA	wnut17.train	wnut17.test	NER
False	8	0	average	0.58622	0.22559	0.32576	0	CRF-PA	wnut17.train	wnut17.test	NER
False	8	1	0	0.97155	0.99671	0.98397	22508	CRF_PA	wnut17.train	wnut17.test	NED
False	8	1	1	0.75974	0.26263	0.39033	891	CRF_PA	wnut17.train	wnut17.test	NED
True	9	1	LOC	0.71875	0.40351	0.51685	57	CRF	ritter.train	ritter.train	NER
True	9	1	ORG	0.93750	0.32609	0.48387	46	CRF	ritter.train	ritter.train	NER
True	9	1	PER	0.73563	0.52893	0.61538	121	CRF	ritter.train	ritter.train	NER
True	9	1	average	0.77279	0.45536	0.56330	0	CRF	ritter.train	ritter.train	NER
True	9	1	0	0.98763	0.99693	0.99226	9447	CRF	ritter.train	ritter.train	NED
True	9	1	1	0.78519	0.47321	0.59053	224	CRF	ritter.train	ritter.train	NED
True	9	1	LOC	0.58824	0.35088	0.43956	57	CRF_PA	ritter.train	ritter.train	NER
True	9	1	ORG	1.00000	0.28261	0.44068	46	CRF_PA	ritter.train	ritter.train	NER
True	9	1	PER	0.70652	0.53719	0.61033	121	CRF_PA	ritter.train	ritter.train	NER
True	9	1	average	0.73669	0.43750	0.53204	0	CRF_PA	ritter.train	ritter.train	NER
True	9	1	0	0.98731	0.99619	0.99173	9447	CRF_PA	ritter.train	ritter.train	NED
True	9	1	1	0.74101	0.45982	0.56749	224	CRF_PA	ritter.train	ritter.train	NED
True	9	2	LOC	0.58537	0.38095	0.46154	63	CRF	ritter.train	ritter.train	NER
True	9	2	ORG	0.91667	0.44000	0.59459	25	CRF	ritter.train	ritter.train	NER
True	9	2	PER	0.79825	0.59091	0.67910	154	CRF	ritter.train	ritter.train	NER
True	9	2	average	0.75506	0.52066	0.61374	0	CRF	ritter.train	ritter.train	NER
True	9	2	0	0.98828	0.99631	0.99228	9225	CRF	ritter.train	ritter.train	NED
True	9	2	1	0.79641	0.54959	0.65037	242	CRF	ritter.train	ritter.train	NED
True	9	2	LOC	0.52632	0.31746	0.39604	63	CRF_PA	ritter.train	ritter.train	NER
True	9	2	ORG	0.75000	0.36000	0.48649	25	CRF_PA	ritter.train	ritter.train	NER
True	9	2	PER	0.72414	0.54545	0.62222	154	CRF_PA	ritter.train	ritter.train	NER
True	9	2	average	0.67531	0.46694	0.54932	0	CRF_PA	ritter.train	ritter.train	NER
True	9	2	0	0.98731	0.99545	0.99136	9225	CRF_PA	ritter.train	ritter.train	NED
True	9	2	1	0.74699	0.51240	0.60784	242	CRF_PA	ritter.train	ritter.train	NED
True	9	3	LOC	0.63889	0.37705	0.47423	61	CRF	ritter.train	ritter.train	NER
