algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:2; run:3; label:ORG; p:0.66667; r:0.12281; f1:0.20741; support:228 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:2; run:3; label:PER; p:0.51613; r:0.26667; f1:0.35165; support:180 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:2; run:4; label:LOC; p:0.60544; r:0.39035; f1:0.47467; support:228 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:2; run:4; label:ORG; p:0.60714; r:0.09942; f1:0.17085; support:171 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:2; run:4; label:PER; p:0.59184; r:0.36943; f1:0.45490; support:157 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:2; run:5; label:LOC; p:0.64748; r:0.41475; f1:0.50562; support:217 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:2; run:5; label:ORG; p:0.57778; r:0.13333; f1:0.21667; support:195 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:True; config:2; run:5; label:PER; p:0.49398; r:0.29286; f1:0.36771; support:140 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:emerging.test.annotated.horus; cross-validation:False; config:2; run:1; label:LOC; p:0.33333; r:0.11066; f1:0.16615; support:244 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:emerging.test.annotated.horus; cross-validation:False; config:2; run:1; label:ORG; p:0.05882; r:0.03448; f1:0.04348; support:87 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:emerging.test.annotated.horus; cross-validation:False; config:2; run:1; label:PER; p:0.61842; r:0.16756; f1:0.26367; support:561 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:ner.txt.horus; cross-validation:False; config:2; run:1; label:LOC; p:0.25352; r:0.16463; f1:0.19963; support:328 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:ner.txt.horus; cross-validation:False; config:2; run:1; label:ORG; p:0.51240; r:0.30244; f1:0.38037; support:205 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:ner.txt.horus; cross-validation:False; config:2; run:1; label:PER; p:0.50000; r:0.17638; f1:0.26077; support:669 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2015.conll.freebase.horus; cross-validation:False; config:2; run:1; label:LOC; p:0.37333; r:0.17722; f1:0.24034; support:158 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2015.conll.freebase.horus; cross-validation:False; config:2; run:1; label:ORG; p:0.28000; r:0.14286; f1:0.18919; support:49 
algo:DT; ds1:2016.conll.freebase.ascii.txt.horus; ds2:2015.conll.freebase.horus; cross-validation:False; config:2; run:1; label:PER; p:0.51724; r:0.22222; f1:0.31088; support:270 
algo:DT; ds1:emerging.test.annotated.horus; ds2:2016.conll.freebase.ascii.txt.horus; cross-validation:False; config:2; run:1; label:LOC; p:0.35942; r:0.11171; f1:0.17045; support:1110 
