cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2
True	2	4	LOC	0.40000	0.07273	0.12308	55	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	4	ORG	0.00000	0.00000	0.00000	10	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	4	PER	0.77551	0.31405	0.44706	121	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	5	LOC	0.50000	0.17778	0.26230	45	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	5	ORG	0.00000	0.00000	0.00000	10	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	2	5	PER	0.54000	0.27000	0.36000	100	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
False	2	1	LOC	0.15464	0.04573	0.07059	328	DT	emerging.test.annotated.horus	ner.txt.horus
False	2	1	ORG	0.00000	0.00000	0.00000	205	DT	emerging.test.annotated.horus	ner.txt.horus
False	2	1	PER	0.50173	0.21674	0.30271	669	DT	emerging.test.annotated.horus	ner.txt.horus
False	2	1	LOC	0.09589	0.04430	0.06061	158	DT	emerging.test.annotated.horus	2015.conll.freebase.horus
False	2	1	ORG	0.00000	0.00000	0.00000	49	DT	emerging.test.annotated.horus	2015.conll.freebase.horus
False	2	1	PER	0.33333	0.22593	0.26932	270	DT	emerging.test.annotated.horus	2015.conll.freebase.horus
False	2	1	LOC	0.41877	0.10450	0.16727	1110	DT	ner.txt.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	ORG	0.44720	0.07947	0.13496	906	DT	ner.txt.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	PER	0.36053	0.17364	0.23439	789	DT	ner.txt.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	LOC	0.29032	0.07377	0.11765	244	DT	ner.txt.horus	emerging.test.annotated.horus
False	2	1	ORG	0.00000	0.00000	0.00000	87	DT	ner.txt.horus	emerging.test.annotated.horus
False	2	1	PER	0.66055	0.12834	0.21493	561	DT	ner.txt.horus	emerging.test.annotated.horus
True	2	1	LOC	0.29412	0.05882	0.09804	85	DT	ner.txt.horus	ner.txt.horus
True	2	1	ORG	0.59375	0.42222	0.49351	45	DT	ner.txt.horus	ner.txt.horus
True	2	1	PER	0.63000	0.46667	0.53617	135	DT	ner.txt.horus	ner.txt.horus
True	2	2	LOC	0.37931	0.14865	0.21359	74	DT	ner.txt.horus	ner.txt.horus
True	2	2	ORG	0.64706	0.30556	0.41509	36	DT	ner.txt.horus	ner.txt.horus
True	2	2	PER	0.59375	0.45238	0.51351	126	DT	ner.txt.horus	ner.txt.horus
True	2	3	LOC	0.34615	0.14754	0.20690	61	DT	ner.txt.horus	ner.txt.horus
True	2	3	ORG	0.62500	0.45455	0.52632	44	DT	ner.txt.horus	ner.txt.horus
True	2	3	PER	0.66667	0.47541	0.55502	122	DT	ner.txt.horus	ner.txt.horus
True	2	4	LOC	0.28571	0.09091	0.13793	66	DT	ner.txt.horus	ner.txt.horus
True	2	4	ORG	0.72727	0.40000	0.51613	40	DT	ner.txt.horus	ner.txt.horus
True	2	4	PER	0.47748	0.46491	0.47111	114	DT	ner.txt.horus	ner.txt.horus
True	2	5	LOC	0.37500	0.15254	0.21687	59	DT	ner.txt.horus	ner.txt.horus
True	2	5	ORG	0.60000	0.34286	0.43636	35	DT	ner.txt.horus	ner.txt.horus
True	2	5	PER	0.59223	0.45185	0.51261	135	DT	ner.txt.horus	ner.txt.horus
False	2	1	LOC	0.37209	0.10127	0.15920	158	DT	ner.txt.horus	2015.conll.freebase.horus
False	2	1	ORG	0.46667	0.14286	0.21875	49	DT	ner.txt.horus	2015.conll.freebase.horus
False	2	1	PER	0.47826	0.16296	0.24309	270	DT	ner.txt.horus	2015.conll.freebase.horus
False	2	1	LOC	0.33788	0.17838	0.23349	1110	DT	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	ORG	0.37838	0.04636	0.08260	906	DT	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	PER	0.37248	0.25729	0.30435	789	DT	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus
False	2	1	LOC	0.16883	0.05328	0.08100	244	DT	2015.conll.freebase.horus	emerging.test.annotated.horus
False	2	1	ORG	0.00000	0.00000	0.00000	87	DT	2015.conll.freebase.horus	emerging.test.annotated.horus
False	2	1	PER	0.51562	0.17647	0.26295	561	DT	2015.conll.freebase.horus	emerging.test.annotated.horus
False	2	1	LOC	0.28834	0.14329	0.19145	328	DT	2015.conll.freebase.horus	ner.txt.horus
False	2	1	ORG	0.34074	0.22439	0.27059	205	DT	2015.conll.freebase.horus	ner.txt.horus
False	2	1	PER	0.51948	0.29895	0.37951	669	DT	2015.conll.freebase.horus	ner.txt.horus
True	2	1	LOC	0.44444	0.09302	0.15385	43	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	1	ORG	0.00000	0.00000	0.00000	6	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	1	PER	0.42308	0.19298	0.26506	57	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	2	LOC	0.30769	0.12500	0.17778	32	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	2	ORG	0.50000	0.12500	0.20000	8	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	2	PER	0.41667	0.17241	0.24390	58	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	3	LOC	0.14286	0.03571	0.05714	28	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	3	ORG	0.33333	0.10000	0.15385	10	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	3	PER	0.55172	0.27586	0.36782	58	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	4	LOC	0.41667	0.13889	0.20833	36	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	4	ORG	0.50000	0.18182	0.26667	11	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	4	PER	0.78571	0.18033	0.29333	61	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	5	LOC	0.00000	0.00000	0.00000	24	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	5	ORG	0.75000	0.23077	0.35294	13	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	2	5	PER	0.50000	0.26415	0.34568	53	DT	2015.conll.freebase.horus	2015.conll.freebase.horus
True	3	1	LOC	0.55556	0.02193	0.04219	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	1	ORG	0.00000	0.00000	0.00000	171	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	1	PER	0.00000	0.00000	0.00000	169	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	2	LOC	1.00000	0.03320	0.06426	241	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	2	ORG	0.00000	0.00000	0.00000	179	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	2	PER	0.00000	0.00000	0.00000	157	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	3	LOC	0.62500	0.02183	0.04219	229	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	3	ORG	0.00000	0.00000	0.00000	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	3	PER	0.00000	0.00000	0.00000	180	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	4	LOC	0.83333	0.02193	0.04274	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	4	ORG	0.00000	0.00000	0.00000	171	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	4	PER	0.00000	0.00000	0.00000	157	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	5	LOC	0.66667	0.04608	0.08621	217	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	5	ORG	0.00000	0.00000	0.00000	195	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
True	3	5	PER	0.00000	0.00000	0.00000	140	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus
False	3	1	LOC	0.00000	0.00000	0.00000	244	DT	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus
False	3	1	ORG	0.00000	0.00000	0.00000	87	DT	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus
False	3	1	PER	0.00000	0.00000	0.00000	561	DT	2016.conll.freebase.ascii.txt.horus	emerging.test.annotated.horus
False	3	1	LOC	0.00000	0.00000	0.00000	328	DT	2016.conll.freebase.ascii.txt.horus	ner.txt.horus
False	3	1	ORG	0.00000	0.00000	0.00000	205	DT	2016.conll.freebase.ascii.txt.horus	ner.txt.horus
False	3	1	PER	0.00000	0.00000	0.00000	669	DT	2016.conll.freebase.ascii.txt.horus	ner.txt.horus
False	3	1	LOC	0.00000	0.00000	0.00000	158	DT	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus
False	3	1	ORG	0.00000	0.00000	0.00000	49	DT	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus
False	3	1	PER	0.00000	0.00000	0.00000	270	DT	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus
False	3	1	LOC	0.00000	0.00000	0.00000	1110	DT	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus
False	3	1	ORG	0.00000	0.00000	0.00000	906	DT	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus
False	3	1	PER	0.00000	0.00000	0.00000	789	DT	emerging.test.annotated.horus	2016.conll.freebase.ascii.txt.horus
True	3	1	LOC	0.00000	0.00000	0.00000	50	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	3	1	ORG	0.00000	0.00000	0.00000	19	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	3	1	PER	0.00000	0.00000	0.00000	115	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	3	2	LOC	0.00000	0.00000	0.00000	40	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	3	2	ORG	0.00000	0.00000	0.00000	16	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	3	2	PER	0.00000	0.00000	0.00000	106	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	3	3	LOC	0.00000	0.00000	0.00000	55	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	3	3	ORG	0.00000	0.00000	0.00000	18	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	3	3	PER	0.00000	0.00000	0.00000	104	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	3	4	LOC	0.00000	0.00000	0.00000	55	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	3	4	ORG	0.00000	0.00000	0.00000	10	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	3	4	PER	0.00000	0.00000	0.00000	121	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	3	5	LOC	0.00000	0.00000	0.00000	45	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	3	5	ORG	0.00000	0.00000	0.00000	10	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
True	3	5	PER	0.00000	0.00000	0.00000	100	DT	emerging.test.annotated.horus	emerging.test.annotated.horus
False	3	1	LOC	0.00000	0.00000	0.00000	328	DT	emerging.test.annotated.horus	ner.txt.horus
False	3	1	ORG	0.00000	0.00000	0.00000	205	DT	emerging.test.annotated.horus	ner.txt.horus
False	3	1	PER	0.00000	0.00000	0.00000	669	DT	emerging.test.annotated.horus	ner.txt.horus
False	3	1	LOC	0.00000	0.00000	0.00000	158	DT	emerging.test.annotated.horus	2015.conll.freebase.horus
