cross-validation	config	run	label	precision	recall	f1	support	algo	dataset1	dataset2	task
True	2	4	1	0.00000	0.00000	0.00000	108	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	2	5	LOC	0.00000	0.00000	0.00000	24	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	2	5	ORG	0.00000	0.00000	0.00000	13	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	2	5	PER	0.00000	0.00000	0.00000	53	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NER
True	2	5	0	0.97259	0.99969	0.98595	3195	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
True	2	5	1	0.00000	0.00000	0.00000	90	DT	2015.conll.freebase.horus	2015.conll.freebase.horus	NED
False	2	1	LOC	0.71429	0.00450	0.00895	1110	DT	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NER
False	2	1	ORG	0.33333	0.00110	0.00220	906	DT	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NER
False	2	1	PER	0.00000	0.00000	0.00000	789	DT	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NER
False	2	1	0	0.95545	0.99982	0.97713	59737	DT	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NED
False	2	1	1	0.64516	0.00713	0.01410	2805	DT	2015.conll.freebase.horus	2016.conll.freebase.ascii.txt.horus	NED
False	2	1	LOC	0.00000	0.00000	0.00000	328	DT	2015.conll.freebase.horus	ner.txt.horus	NER
False	2	1	ORG	0.00000	0.00000	0.00000	205	DT	2015.conll.freebase.horus	ner.txt.horus	NER
False	2	1	PER	0.14286	0.00299	0.00586	669	DT	2015.conll.freebase.horus	ner.txt.horus	NER
False	2	1	0	0.97462	0.99967	0.98699	46057	DT	2015.conll.freebase.horus	ner.txt.horus	NED
False	2	1	1	0.16667	0.00250	0.00492	1202	DT	2015.conll.freebase.horus	ner.txt.horus	NED
False	2	1	LOC	0.00000	0.00000	0.00000	244	DT	2015.conll.freebase.horus	emerging.test.annotated.horus	NER
False	2	1	ORG	0.00000	0.00000	0.00000	87	DT	2015.conll.freebase.horus	emerging.test.annotated.horus	NER
False	2	1	PER	0.10000	0.00178	0.00350	561	DT	2015.conll.freebase.horus	emerging.test.annotated.horus	NER
False	2	1	0	0.96193	0.99956	0.98038	22525	DT	2015.conll.freebase.horus	emerging.test.annotated.horus	NED
False	2	1	1	0.09091	0.00112	0.00221	892	DT	2015.conll.freebase.horus	emerging.test.annotated.horus	NED
False	2	1	LOC	0.86667	0.08228	0.15029	158	DT	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NER
False	2	1	ORG	0.00000	0.00000	0.00000	49	DT	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NER
False	2	1	PER	1.00000	0.01111	0.02198	270	DT	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NER
False	2	1	0	0.97189	0.99950	0.98550	15946	DT	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NED
False	2	1	1	0.66667	0.03354	0.06387	477	DT	2016.conll.freebase.ascii.txt.horus	2015.conll.freebase.horus	NED
True	2	1	LOC	0.80000	0.29825	0.43450	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	2	1	ORG	0.91803	0.32749	0.48276	171	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	2	1	PER	0.91667	0.06509	0.12155	169	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	2	1	0	0.96527	0.99841	0.98156	11941	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	2	1	1	0.87975	0.24472	0.38292	568	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	2	2	LOC	0.89474	0.28216	0.42902	241	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	2	2	ORG	0.88889	0.31285	0.46281	179	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	2	2	PER	0.94444	0.10828	0.19429	157	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	2	2	0	0.96470	0.99866	0.98139	11932	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	2	2	1	0.89809	0.24437	0.38420	577	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	2	3	LOC	0.82278	0.28384	0.42208	229	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	2	3	ORG	0.92063	0.25439	0.39863	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	2	3	PER	0.92308	0.06667	0.12435	180	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	2	3	0	0.95977	0.99874	0.97887	11872	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	2	3	1	0.90323	0.21978	0.35354	637	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	2	4	LOC	0.85714	0.26316	0.40268	228	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	2	4	ORG	0.87037	0.27485	0.41778	171	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	2	4	PER	0.80952	0.10828	0.19101	157	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	2	4	0	0.96522	0.99841	0.98154	11953	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	2	4	1	0.86897	0.22662	0.35949	556	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NED
True	2	5	LOC	0.92424	0.28111	0.43110	217	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
True	2	5	ORG	0.90909	0.25641	0.40000	195	DT	2016.conll.freebase.ascii.txt.horus	2016.conll.freebase.ascii.txt.horus	NER
